`torch_dtype` is deprecated! Use `dtype` instead!
WARNING:root:With reduced precision, it is advised to use `from_pretrained_no_processing` instead of `from_pretrained`.
WARNING:root:You are not using LayerNorm, so the writing weights can't be centered! Skipping
Model: Qwen/Qwen2.5-1.5B-Instruct, Scenarios: 3
Loading...
Loaded pretrained model Qwen/Qwen2.5-1.5B-Instruct into HookedTransformer
Loaded. Layers: 28

============================================================
handled → baseline
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=15.54
  Layer        Attn      MLP   Which?
  L0        +0.000  +10.395      MLP
  L1        +0.000   +7.547      MLP
  L2        +0.000   +0.848      MLP
  L3        +0.000   +2.316      MLP
  L4        +0.000   +5.086      MLP
  L5        +0.000   +9.895      MLP
  L6        +0.000   +7.102      MLP
  L7        +0.000   +5.336      MLP
  L8        +0.000   +5.320      MLP
  L9        +0.000   +6.969      MLP
  L10       +0.000   -1.320      MLP
  L11       +0.000   -1.328      MLP
  L12       +0.000   -0.695      MLP
  L13       +0.000   +1.758      MLP
  L14       +0.000   -0.418      MLP
  L15       +0.000   +0.227      MLP
  L16       +0.000   +0.953      MLP
  L17       +0.000   +1.254      MLP
  L18       +0.000   +0.293      MLP
  L19       +0.000   +1.938      MLP
  L20       +0.000   +0.023      MLP
  L21       +0.000   +0.273      MLP
  L22       +0.000   +0.703      MLP
  L23       +0.000   -0.922      MLP
  L24       +0.000   +0.961      MLP
  L25       +0.000   +1.047      MLP
  L26       +0.000   +1.062      MLP
  L27       +0.000   +0.805      MLP
  recursive_importance_inflation... (28 layers × 2 components)
  range=13.14
  Layer        Attn      MLP   Which?
  L0        +0.000   +8.141      MLP
  L1        +0.000   +5.516      MLP
  L2        +0.000   +0.727      MLP
  L3        +0.000   -0.305      MLP
  L4        +0.000   +4.320      MLP
  L5        +0.000   +7.789      MLP
  L6        +0.000   +7.465      MLP
  L7        +0.000   +3.328      MLP
  L8        +0.000   +5.141      MLP
  L9        +0.000   +6.188      MLP
  L10       +0.000   -0.859      MLP
  L11       +0.000   -1.125      MLP
  L12       +0.000   -0.055      MLP
  L13       +0.000   +2.055      MLP
  L14       +0.000   +1.070      MLP
  L15       +0.000   -0.164      MLP
  L16       +0.000   +0.055      MLP
  L17       +0.000   +0.078      MLP
  L18       +0.000   -0.105      MLP
  L19       +0.000   +1.711      MLP
  L20       +0.000   -0.039      MLP
  L21       +0.000   -0.469      MLP
  L22       +0.000   +0.680      MLP
  L23       +0.000   -0.664      MLP
  L24       +0.000   +1.234      MLP
  L25       +0.000   +0.414      MLP
  L26       +0.000   +1.820      MLP
  L27       +0.000   +1.031      MLP
  identity_seeking_through_theory... (28 layers × 2 components)
  range=14.48
  Layer        Attn      MLP   Which?
  L0        +0.000   +8.359      MLP
  L1        +0.000   +5.477      MLP
  L2        +0.000   -0.352      MLP
  L3        +0.000   +1.602      MLP
  L4        +0.000   +5.500      MLP
  L5        +0.000   +7.359      MLP
  L6        +0.000   +6.332      MLP
  L7        +0.000   +6.500      MLP
  L8        +0.000   +4.844      MLP
  L9        +0.000   +4.531      MLP
  L10       +0.000   -1.125      MLP
  L11       +0.000   -2.320      MLP
  L12       +0.000   -0.992      MLP
  L13       +0.000   +0.691      MLP
  L14       +0.000   -0.668      MLP
  L15       +0.000   -0.184      MLP
  L16       +0.000   +0.754      MLP
  L17       +0.000   +0.406      MLP
  L18       +0.000   +0.395      MLP
  L19       +0.000   +1.641      MLP
  L20       +0.000   -0.777      MLP
  L21       +0.000   +0.152      MLP
  L22       +0.000   +0.781      MLP
  L23       +0.000   -0.836      MLP
  L24       +0.000   +0.648      MLP
  L25       +0.000   +0.148      MLP
  L26       +0.000   +1.422      MLP
  L27       +0.000   +0.590      MLP

============================================================
scrambled → baseline
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=15.90
  Layer        Attn      MLP   Which?
  L0        +0.000   +8.875      MLP
  L1        +0.000   +6.148      MLP
  L2        +0.000   +5.234      MLP
  L3        +0.000   +3.383      MLP
  L4        +0.000   +7.047      MLP
  L5        +0.000  +10.242      MLP
  L6        +0.000   +8.438      MLP
  L7        +0.000   +4.117      MLP
  L8        +0.000   +7.945      MLP
  L9        +0.000   +8.316      MLP
  L10       +0.000   -0.449      MLP
  L11       +0.000   +0.625      MLP
  L12       +0.000   +0.977      MLP
  L13       +0.000   +1.258      MLP
  L14       +0.000   +0.312      MLP
  L15       +0.000   +0.680      MLP
  L16       +0.000   +1.133      MLP
  L17       +0.000   +2.000      MLP
  L18       +0.000   +1.086      MLP
  L19       +0.000   +1.320      MLP
  L20       +0.000   -0.438      MLP
  L21       +0.000   +0.273      MLP
  L22       +0.000   +0.688      MLP
  L23       +0.000   -1.852      MLP
  L24       +0.000   +1.133      MLP
  L25       +0.000   +0.547      MLP
  L26       +0.000   +1.383      MLP
  L27       +0.000   +0.969      MLP
  recursive_importance_inflation... (28 layers × 2 components)
  range=11.97
  Layer        Attn      MLP   Which?
  L0        +0.000   +6.336      MLP
  L1        +0.000   +4.656      MLP
  L2        +0.000   +3.734      MLP
  L3        +0.000   +1.551      MLP
  L4        +0.000   +4.609      MLP
  L5        +0.000   +7.875      MLP
  L6        +0.000   +6.961      MLP
  L7        +0.000   +4.164      MLP
  L8        +0.000   +5.898      MLP
  L9        +0.000   +5.477      MLP
  L10       +0.000   -0.941      MLP
