`torch_dtype` is deprecated! Use `dtype` instead!
Model: Qwen/Qwen2.5-7B-Instruct, Scenarios: 5
Loading...
Loading checkpoint shards:   0%|          | 0/4 [00:00<?, ?it/s]Loading checkpoint shards:  25%|██▌       | 1/4 [00:02<00:08,  2.74s/it]Loading checkpoint shards:  50%|█████     | 2/4 [00:05<00:05,  2.70s/it]Loading checkpoint shards:  75%|███████▌  | 3/4 [00:09<00:03,  3.32s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  3.20s/it]Loading checkpoint shards: 100%|██████████| 4/4 [00:12<00:00,  3.12s/it]
WARNING:root:With reduced precision, it is advised to use `from_pretrained_no_processing` instead of `from_pretrained`.
WARNING:root:You are not using LayerNorm, so the writing weights can't be centered! Skipping
Loaded pretrained model Qwen/Qwen2.5-7B-Instruct into HookedTransformer
Loaded. Layers: 28

============================================================
handled → baseline
============================================================
  coherence_laundering... (28 layers × 2 components)
  range=9.56
  Layer        Attn      MLP   Which?
  L0        +0.000   +0.672      MLP
  L1        +0.000   +1.883      MLP
  L2        +0.000   +3.242      MLP
  L3        +0.000   +5.062      MLP
  L4        +0.000   +3.625      MLP
  L5        +0.000   +3.461      MLP
  L6        +0.000   +5.633      MLP
  L7        +0.000   +2.945      MLP
  L8        +0.000   +2.938      MLP
  L9        +0.000   +2.008      MLP
  L10       +0.000   +0.992      MLP
  L11       +0.000   +0.414      MLP
  L12       +0.000   +1.797      MLP
  L13       +0.000   +1.805      MLP
  L14       +0.000   +1.766      MLP
  L15       +0.000   -0.234      MLP
  L16       +0.000   +2.711      MLP
  L17       +0.000   +3.570      MLP
  L18       +0.000   -0.172      MLP
  L19       +0.000   +0.227      MLP
  L20       +0.000   +0.898      MLP
  L21       +0.000   +2.062      MLP
  L22       +0.000   +0.125      MLP
  L23       +0.000   +0.000      ---
  L24       +0.000   +1.383      MLP
  L25       +0.000   +0.672      MLP
  L26       +0.000   +2.719      MLP
  L27       +0.000   +3.859      MLP
  recursive_importance_inflation... (28 layers × 2 components)
  range=8.76
  Layer        Attn      MLP   Which?
  L0        +0.000   +1.406      MLP
  L1        +0.000   +2.078      MLP
  L2        +0.000   +2.820      MLP
  L3        +0.000   +6.055      MLP
  L4        +0.000   +5.297      MLP
  L5        +0.000   +3.969      MLP
  L6        +0.000   +4.680      MLP
  L7        +0.000   +3.289      MLP
  L8        +0.000   +3.609      MLP
  L9        +0.000   +3.125      MLP
  L10       +0.000   +1.141      MLP
  L11       +0.000   +1.047      MLP
  L12       +0.000   +1.570      MLP
  L13       +0.000   +1.594      MLP
  L14       +0.000   +1.758      MLP
  L15       +0.000   -0.609      MLP
  L16       +0.000   +3.031      MLP
  L17       +0.000   +3.016      MLP
  L18       +0.000   -0.016      MLP
  L19       +0.000   +0.898      MLP
  L20       +0.000   +0.680      MLP
  L21       +0.000   +1.766      MLP
  L22       +0.000   -0.039      MLP
  L23       +0.000   +0.234      MLP
  L24       +0.000   +1.711      MLP
  L25       +0.000   +0.211      MLP
  L26       +0.000   +2.758      MLP
  L27       +0.000   +4.477      MLP
  identity_seeking_through_theory... (28 layers × 2 components)
  range=9.54
  Layer        Attn      MLP   Which?
  L0        +0.000   +0.695      MLP
  L1        +0.000   +1.930      MLP
  L2        +0.000   +3.477      MLP
  L3        +0.000   +4.875      MLP
  L4        +0.000   +3.766      MLP
  L5        +0.000   +3.742      MLP
  L6        +0.000   +5.664      MLP
  L7        +0.000   +3.156      MLP
  L8        +0.000   +3.062      MLP
  L9        +0.000   +2.438      MLP
  L10       +0.000   +1.156      MLP
  L11       +0.000   +0.406      MLP
  L12       +0.000   +1.961      MLP
  L13       +0.000   +2.078      MLP
  L14       +0.000   +2.016      MLP
  L15       +0.000   -0.117      MLP
  L16       +0.000   +2.594      MLP
  L17       +0.000   +3.422      MLP
  L18       +0.000   -0.242      MLP
  L19       +0.000   +0.281      MLP
  L20       +0.000   +0.906      MLP
  L21       +0.000   +2.078      MLP
  L22       +0.000   +0.180      MLP
  L23       +0.000   +0.078      MLP
  L24       +0.000   +1.250      MLP
  L25       +0.000   +0.719      MLP
  L26       +0.000   +2.641      MLP
  L27       +0.000   +3.758      MLP
  self_exposure_escalation... (28 layers × 2 components)
  range=9.02
  Layer        Attn      MLP   Which?
  L0        +0.000   +1.492      MLP
  L1        +0.000   +2.273      MLP
  L2        +0.000   +2.781      MLP
  L3        +0.000   +6.359      MLP
  L4        +0.000   +5.500      MLP
  L5        +0.000   +3.930      MLP
  L6        +0.000   +4.844      MLP
  L7        +0.000   +3.383      MLP
  L8        +0.000   +3.789      MLP
  L9        +0.000   +3.258      MLP
  L10       +0.000   +1.141      MLP
  L11       +0.000   +1.172      MLP
  L12       +0.000   +1.664      MLP
  L13       +0.000   +1.562      MLP
  L14       +0.000   +1.859      MLP
  L15       +0.000   -0.562      MLP
  L16       +0.000   +3.078      MLP
  L17       +0.000   +3.164      MLP
  L18       +0.000   +0.164      MLP
  L19       +0.000   +1.023      MLP
  L20       +0.000   +0.812      MLP
  L21       +0.000   +1.766      MLP
  L22       +0.000   -0.023      MLP
  L23       +0.000   +0.328      MLP
  L24       +0.000   +1.812      MLP
  L25       +0.000   +0.227      MLP
  L26       +0.000   +2.867      MLP
  L27       +0.000   +4.531      MLP
  anti_delusion_delusion... (28 layers × 2 components)
  range=9.62
  Layer        Attn      MLP   Which?
  L0        +0.000   +0.727      MLP
  L1        +0.000   +2.047      MLP
  L2        +0.000   +3.469      MLP
  L3        +0.000   +5.094      MLP
  L4        +0.000   +3.812      MLP
  L5        +0.000   +3.773      MLP
  L6        +0.000   +5.664      MLP
  L7        +0.000   +3.156      MLP
  L8        +0.000   +3.023      MLP
  L9        +0.000   +2.328      MLP
  L10       +0.000   +1.047      MLP
  L11       +0.000   +0.516      MLP
  L12       +0.000   +1.930      MLP
  L13       +0.000   +2.078      MLP
  L14       +0.000   +2.031      MLP
  L15       +0.000   -0.055      MLP
  L16       +0.000   +2.727      MLP
  L17       +0.000   +3.516      MLP
  L18       +0.000   -0.188      MLP
  L19       +0.000   +0.258      MLP
  L20       +0.000   +0.922      MLP
  L21       +0.000   +2.070      MLP
  L22       +0.000   +0.164      MLP
  L23       +0.000   +0.102      MLP
